latency,predicted_label,sentence,true_label,year
2.3204360008239746,0,the staff noted that increased uncertainty and ongoing volatility had reduced risk appetite in financial markets and eased price pressures although valuations of many assets remained elevated.,,2022
1.896134853363037,0,in some districts contacts had suggested that labor demandsupply imbalances might be diminishing with firms being more successful in hiring and retaining workers and under less pressure to raise wages.,,2022
0.7171051502227783,2,the committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run.,,2022
1.4273180961608887,1,staff review of the financial situation over the intermeeting period rising inflation and fomc communications appeared to have put substantial upward pressure on shorterdated treasury yields.,,2022
2.292055130004883,0,in support of the committees goals of maximum employment and inflation at the rate of 2 percent over the longer run participants judged that it would be appropriate for the committee to keep the target range for the federal funds rate at 0 to 14 percent until labor market conditions had reached levels consistent with the committees assessments of maximum employment a condition most participants judged could be met relatively soon if the recent pace of labor market improvements continued.,,2022
0.3721432685852051,1,at the current juncture with inflation remaining well above the committees objective participants remarked that moving to a restrictive stance of policy was required to meet the committees legislative mandate to promote maximum employment and price stability.,,2022
1.023463249206543,1,they agreed that by moving its policy purposefully toward an appropriately restrictive stance the committee would help ensure that elevated inflation did not become entrenched and that inflation expectations did not become unanchored.,,2022
2.490319013595581,0,moreover the staff assumed a slower pace of decline in the natural rate of unemployment over the near term in response to recent estimates suggesting that jobmatching efficiency was not improving as fast as previously anticipated.,,2022
1.030989170074463,0,declining risk appetite has also led to sharp declines in the price of some digital assets.,,2022
2.70497465133667,2,the committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the committees goals.,,2022
1.0451571941375732,0,many participants remarked that in view of the constantly changing nature of the economic environment and the existence of long and variable lags in monetary policys effect on the economy there was also a risk that the committee could tighten the stance of policy by more than necessary to restore price stability.,,2022
1.1339111328125,1,a new version of the staffs common inflation expectations index which combines information from many indicators of inflation expectations and inflation compensation moved up in the first quarter and was at the upper end of the range of values seen since 2005.,,2022
1.829892873764038,2,some participants noted a number of developments consistent with the labor market moving toward better balance including a lower rate of job turnover a moderation in employment growth and an increase in the labor force participation rate for primeage workers.,,2022
1.691929817199707,2,in their discussion of the household sector participants generally noted that demand for consumer goods had remained strong likely supported by accommodative fiscal and monetary policies increased household income as more people found jobs increasing net worth of the household sector and the high level of savings accumulated through the course of the pandemic.,,2022
1.175382137298584,1,in addition to russias war in ukraine weakening activity abroad and ongoing supply chain bottlenecks the possibility that a persistent reduction in inflation could require a greaterthanassumed amount of tightening in financial conditions was viewed by the staff as a salient downside risk to their forecast for real activity.,,2022
0.5396580696105957,2,participants discussed the length of the lags in the response of the economy to monetary policy actions taking into account historical experience and the various estimates of timing relationships provided in economic research as well as the high degree of uncertainty involved in applying the evidence on lags to the current situation.,,2022
2.9155309200286865,2,in that context a couple of them noted that gdp and gross domestic income had been giving conflicting signals recently regarding the pace of economic growth making it challenging to determine the economys underlying momentum.,,2022
2.002639055252075,1,job gains had been solid in recent months and the unemployment rate had declined substantially.,,2022
1.6053431034088135,2,the labor force participation rate increased in march as did the employmenttopopulation ratio.,,2022
1.5368778705596924,1,all told total pce price inflation was expected to be 4.3 percent in 2022.,,2022
1.7414610385894775,1,the staff continued to judge that the risks to the baseline projection for real activity were skewed to the downside and that the risks to the inflation projection were skewed to the upside.,,2022
1.5537869930267334,1,participants reaffirmed their strong commitment to returning inflation to the committees 2 percent objective with many stressing the importance of staying on this course even as the labor market slowed.,,2022
1.715609073638916,0,with the effects of supplydemand imbalances in goods markets expected to unwind further and labor and product markets projected to become less tight the staff continued to forecast that inflation would decline markedly over the next two years.,,2022
2.0168731212615967,1,inflation remained elevated reflecting continued supply and demand imbalances higher energy prices and broader price pressures.,,2022
1.3296339511871338,1,in their consideration of appropriate monetary policy actions at this meeting participants concurred that inflation remained well above the committees longerrun goal of 2 percent and the recent data on inflation provided very few signs that inflation pressures were abating.,,2022
0.8802351951599121,1,cre prices continued to rise and valuation pressures appeared to be increasing.,,2022
2.5306758880615234,1,despite tentative signs of easing in foreign headline inflation core inflationary pressures remained elevated in many countries.,,2022
2.0136637687683105,1,inflation abroad continued to rise mostly driven by further increases in retail energy and food prices.,,2022
1.2693259716033936,1,labor market conditions remained quite tight and consumer price inflationas measured by the 12month percentage change in the price index for personal consumption expenditures pceremained elevated.,,2022
1.3252968788146973,1,in many industries the ability of firms to meet demand continued to be limited by labor shortages and supply chain bottlenecks.,,2022
1.9640629291534424,1,the invasion and related events were creating additional upward pressure on inflation and were likely to weigh on economic activity.,,2022
2.745867967605591,1,some participants noted that the recent high pace of nominal wage growth taken together with the recent low pace of productivity growth would if sustained be inconsistent with achievement of the 2 percent inflation objective.,,2022
2.7641868591308594,1,projected inflation over this period was a little higher than in the previous projection as supply bottlenecks were assumed to resolve more gradually and as the salience of this years higher inflation readings was assumed to raise the underlying trend in inflation relative to the previous forecast.,,2022
1.124035120010376,0,a few participants reported that business contacts in certain retail sectorssuch as used cars and apparelwere planning to cut prices in order to help reduce their inventories.,,2022
2.7544898986816406,2,there was wide agreement that heightened uncertainty regarding the outlooks for both inflation and real activity underscored the importance of taking into account the cumulative tightening of monetary policy the lags with which monetary policy affected economic activity and inflation and economic and financial developments.,,2022
2.677642822265625,0,in november the 12month change in the cpi stepped down to 7.1 percent and core cpi inflation dropped to 6.0 percent.,,2022
1.8442771434783936,1,participants observed that the labor market had remained very tight with the unemployment rate near a historically low level robust payroll gains a high level of job vacancies and elevated nominal wage growth.,,2022
1.509296178817749,1,central banks around the world further tightened their monetary policy stances to curb high inflation.,,2022
1.2529120445251465,1,however yields increased late in the period with economic data releases largely being interpreted as highlighting the possibility of a more aggressive tightening of monetary policy.,,2022
1.1217319965362549,1,against this background participants continued to be highly attentive to inflation risks.,,2022
1.3209738731384277,2,conditions in shortterm funding markets remained stable over the intermeeting period with the july increase in the federal reserves administered interest rates passing through quickly to other money market rates.,,2022
1.0290989875793457,0,committee policy action in their discussion of monetary policy for this meeting members agreed that recent indicators of spending and production had softened.,,2022
1.1534221172332764,0,foreign economic growth slowed notably in the second quarter as covid19related lockdowns led to a sharp contraction in china and russias war against ukraine took a toll on foreign activity especially in europe.,,2022
